"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,170,87,34.8,35.4,29.4,65.5,81.9,507,4,1.6,66.9,29,6.9,1478,8.7
0,175,83,35.1,35.7,29.5,67.2,84,512,4,1.5,67.9,29,6.8,1512,8.6
0,180,79,35.4,36,29.5,69,86,517,4,1.5,68.9,28,6.7,1545,8.6
1,25,1974,9.5,11.2,11.6,8.6,11.6,41,965,2.8,6.1,13,7,67,2.7
1,30,1472,11.5,13.1,13.3,10.7,14.1,65,502,2.8,8.4,16,8.1,108,3.6
1,35,1161,13.3,14.8,14.8,12.7,16.5,90,311,2.7,10.5,18,8.6,151,4.3
1,40,947,14.9,16.3,16.2,14.7,18.9,114,215,2.6,12.4,20,8.9,195,4.9
1,45,788,16.3,17.6,17.3,16.7,21.3,139,159,2.5,14.2,21,9,240,5.3
1,50,666,17.6,18.9,18.2,18.7,23.6,162,122,2.4,15.9,22,9.1,286,5.7
1,55,571,18.8,20,19,20.6,25.9,184,96,2.3,17.7,23,9.1,331,6
1,60,495,19.9,21,19.7,22.5,28.2,206,76,2.3,19.6,24,9,376,6.3
1,65,434,20.9,22,20.3,24.4,30.4,226,61,2.2,21.6,24,8.9,421,6.5
1,70,385,21.8,22.9,20.9,26.3,32.7,245,49,2.2,23.8,25,8.8,465,6.6
1,75,345,22.7,23.7,21.5,28.2,34.9,263,40,2.1,26.1,25,8.7,508,6.8
1,80,312,23.5,24.4,22.1,30,37,280,33,2.1,28.4,26,8.5,551,6.9
1,85,284,24.2,25.1,22.6,31.8,39.2,296,28,2.1,30.6,26,8.4,593,7
1,90,260,24.9,25.8,23.2,33.7,41.4,311,24,2,32.7,26,8.3,634,7
1,95,239,25.6,26.4,23.7,35.5,43.5,325,21,2,34.7,27,8.1,675,7.1
1,100,221,26.2,27,24.1,37.3,45.6,338,18,1.9,36.6,27,8,715,7.1
1,105,204,26.8,27.5,24.6,39.1,47.7,350,16,1.9,38.6,27,7.9,754,7.2
1,110,190,27.3,28.1,25,40.9,49.8,362,14,1.9,40.6,27,7.7,793,7.2
1,115,177,27.8,28.5,25.3,42.7,51.9,373,13,1.8,42.6,27,7.6,831,7.2
1,120,165,28.3,29,25.7,44.5,54,383,12,1.8,44.5,27,7.5,868,7.2
1,125,155,28.8,29.4,26,46.2,56,393,11,1.8,46.4,27,7.4,905,7.2
1,130,145,29.2,29.8,26.3,48,58.1,402,10,1.7,48.2,27,7.2,941,7.2
1,135,137,29.6,30.2,26.5,49.7,60.1,411,9,1.7,50,27,7.1,977,7.2
1,140,129,30,30.6,26.8,51.5,62.2,419,8,1.7,52,27,7,1012,7.2
1,145,121,30.4,31,27,53.2,64.2,427,7,1.7,54,27,6.9,1046,7.2
1,150,115,30.7,31.3,27.2,55,66.2,434,7,1.6,56.1,27,6.8,1080,7.2
1,155,109,31.1,31.6,27.4,56.7,68.2,441,6,1.6,58.2,26,6.7,1113,7.2
1,160,103,31.4,31.9,27.7,58.4,70.2,448,6,1.6,60.1,26,6.6,1146,7.2
1,165,98,31.7,32.2,27.8,60.1,72.1,454,5,1.6,61.7,26,6.5,1179,7.1
1,170,93,32,32.5,28,61.8,74.1,460,5,1.5,63,26,6.4,1210,7.1
1,175,88,32.3,32.8,28,63.5,76.1,466,5,1.5,64,26,6.3,1242,7.1
1,180,84,32.6,33,28.1,65.2,78,471,4,1.5,65.1,26,6.2,1273,7.1
2,30,1838,9.2,10.6,11.8,9.1,11.3,34,721,1.9,5.8,9,5.2,54,1.8
2,35,1415,10.8,12.2,13.4,11,13.4,53,423,1.9,7.6,10,5.9,84,2.4
2,40,1133,12.3,13.6,14.7,12.9,15.6,74,282,1.9,9.2,12,6.4,116,2.9
2,45,930,13.6,14.8,15.9,14.7,17.7,94,203,1.8,10.7,13,6.7,149,3.3
2,50,777,14.9,16,16.8,16.6,19.8,115,153,1.8,12.2,14,6.9,184,3.7
2,55,659,16,17.1,17.6,18.4,21.9,135,118,1.8,13.8,15,7,219,4
2,60,567,17.1,18.1,18.2,20.2,23.9,155,92,1.7,15.5,15,7,254,4.2
2,65,494,18.1,19,18.9,22.1,26,174,73,1.7,17.3,16,7,289,4.4
2,70,435,19,19.9,19.5,23.9,28,192,58,1.7,19.3,17,7,324,4.6
2,75,388,19.8,20.7,20,25.6,30.1,210,47,1.7,21.4,18,7,359,4.8
2,80,349,20.6,21.4,20.6,27.4,32.1,226,39,1.7,23.6,18,6.9,393,4.9
2,85,317,21.4,22.1,21.2,29.2,34.1,242,33,1.7,25.6,19,6.9,428,5
2,90,289,22,22.8,21.7,30.9,36.1,257,28,1.7,27.6,19,6.8,462,5.1
2,95,265,22.7,23.4,22.2,32.7,38.1,271,24,1.7,29.6,20,6.8,496,5.2
2,100,244,23.3,24,22.7,34.4,40,284,21,1.6,31.5,20,6.7,529,5.3
2,105,225,23.9,24.5,23.1,36.2,42,297,19,1.6,33.4,21,6.6,563,5.4
2,110,208,24.4,25.1,23.5,37.9,43.9,309,17,1.6,35.4,21,6.6,595,5.4
2,115,194,24.9,25.6,23.9,39.6,45.9,320,15,1.6,37.3,21,6.5,628,5.5
2,120,181,25.4,26,24.2,41.3,47.8,331,13,1.6,39.3,21,6.4,660,5.5
2,125,169,25.9,26.5,24.5,43,49.8,341,12,1.6,41.2,22,6.3,691,5.5
2,130,158,26.3,26.9,24.8,44.7,51.7,350,11,1.6,43,22,6.3,723,5.6
2,135,148,26.8,27.3,25.1,46.4,53.6,359,10,1.5,44.9,22,6.2,754,5.6
2,140,139,27.2,27.6,25.3,48.1,55.5,368,9,1.5,46.8,22,6.1,784,5.6
2,145,131,27.5,28,25.6,49.8,57.4,376,8,1.5,48.9,22,6,814,5.6
2,150,124,27.9,28.3,25.8,51.5,59.3,384,7,1.5,51,22,6,844,5.6
