"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
1,100,245,30.8,32.5,27.4,37.7,52.8,431,28,2.7,35.3,43,13.7,991,9.9
1,105,221,31.7,33.3,27.9,40.2,55.6,456,24,2.7,37.4,43,13.5,1059,10.1
1,110,200,32.5,34.1,28.5,42.6,58.3,479,21,2.6,39.6,43,13.3,1126,10.2
1,115,181,33.2,34.8,29,45.1,60.9,502,18,2.5,41.8,43,13.1,1191,10.4
1,120,165,33.9,35.4,29.5,47.6,63.4,524,16,2.4,44.1,43,13,1256,10.5
1,125,151,34.6,36,29.9,50.1,65.9,546,14,2.4,46.4,42,12.8,1320,10.6
1,130,139,35.2,36.6,30.3,52.7,68.2,566,13,2.3,48.5,42,12.6,1383,10.6
1,135,127,35.8,37.2,30.7,55.4,70.5,586,11,2.3,50.3,42,12.4,1445,10.7
1,140,117,36.3,37.7,31.1,58.1,72.7,606,10,2.2,52.1,42,12.2,1505,10.8
1,145,108,36.8,38.2,31.5,61,74.8,624,9,2.2,54,41,12,1565,10.8
2,40,3106,9.6,12.3,13.6,7.5,10.7,48,1292,4.1,6.4,17,7.7,92,2.3
2,45,2247,11.8,14.4,15.3,9.3,13.6,73,859,3.8,7.5,20,8.9,137,3
2,50,1670,13.8,16.2,16.7,11.3,16.5,99,577,3.6,8.9,23,9.9,186,3.7
2,55,1278,15.7,18,18,13.4,19.5,126,393,3.4,10.5,26,10.5,239,4.3
2,60,1006,17.4,19.6,19.2,15.6,22.5,153,272,3.3,12.4,28,11,294,4.9
2,65,844,19,21.1,20.2,17.5,25.5,181,162,3.2,15.7,29,11.3,351,5.4
2,70,718,20.4,22.4,21.2,19.4,28.4,207,126,3.1,17.6,31,11.5,409,5.8
2,75,619,21.7,23.7,22.1,21.3,31.3,233,99,3,19.5,32,11.7,467,6.2
2,80,538,23,24.8,22.9,23.3,34.2,259,80,2.9,21.4,33,11.7,526,6.6
2,85,473,24.1,25.8,23.7,25.3,37,283,66,2.8,23.3,34,11.8,584,6.9
2,90,418,25.1,26.8,24.5,27.3,39.7,307,54,2.7,25.4,35,11.7,643,7.1
2,95,373,26.1,27.7,25.2,29.3,42.3,330,45,2.7,27.5,35,11.7,701,7.4
2,100,335,26.9,28.5,25.8,31.3,44.8,352,38,2.6,29.7,36,11.6,759,7.6
2,105,303,27.8,29.3,26.3,33.3,47.3,374,32,2.6,31.8,36,11.5,817,7.8
2,110,276,28.5,30,26.9,35.3,49.7,395,28,2.5,33.9,36,11.4,874,7.9
2,115,252,29.2,30.6,27.4,37.2,52,415,24,2.4,36.2,36,11.3,931,8.1
2,120,231,29.9,31.2,27.9,39.2,54.2,434,21,2.4,38.5,37,11.2,986,8.2
2,125,213,30.5,31.8,28.3,41.1,56.3,453,18,2.3,40.7,37,11,1041,8.3
2,130,197,31,32.3,28.7,43,58.4,471,16,2.3,42.7,36,10.9,1096,8.4
2,135,183,31.6,32.8,29.1,45,60.4,488,14,2.2,44.5,36,10.8,1150,8.5
2,140,170,32.1,33.3,29.5,47,62.2,505,13,2.2,46.3,36,10.6,1203,8.6
2,145,158,32.5,33.7,29.9,49.1,64,521,12,2.2,48.1,36,10.5,1255,8.7
2,150,147,33,34.1,30.3,51.2,65.8,537,11,2.1,50,36,10.3,1307,8.7
3,45,3527,8.8,11.2,13.7,7,10,40,1209,2.9,5.6,11,5.8,69,1.5
3,50,2674,10.7,12.9,15.1,8.5,12.6,61,853,2.8,6.5,13,6.8,103,2.1
3,55,2068,12.4,14.5,16.4,10,15.2,84,606,2.7,7.6,16,7.6,141,2.6
3,60,1634,14,16,17.6,11.7,17.9,107,434,2.7,8.9,18,8.2,182,3
3,65,1319,15.5,17.4,18.6,13.4,20.5,130,315,2.7,10.4,20,8.6,225,3.5
3,70,1087,16.9,18.7,19.6,15.2,23.1,153,232,2.6,12,22,8.9,270,3.9
3,75,936,18.1,19.9,20.5,16.7,25.7,176,152,2.6,14.8,23,9.2,316,4.2
3,80,811,19.3,21,21.3,18.3,28.3,198,125,2.6,16.2,25,9.3,362,4.5
3,85,709,20.4,22,22.1,19.9,30.7,219,103,2.5,17.8,26,9.4,409,4.8
3,90,624,21.4,22.9,22.9,21.6,33.2,239,85,2.5,19.4,27,9.5,456,5.1
3,95,554,22.3,23.7,23.6,23.3,35.5,259,70,2.5,21.2,28,9.5,504,5.3
3,100,496,23.1,24.5,24.2,24.9,37.7,278,58,2.4,23.1,28,9.5,551,5.5
3,105,447,23.9,25.2,24.7,26.5,39.9,297,49,2.4,25,29,9.4,598,5.7
3,110,406,24.6,25.9,25.3,28.2,42,314,41,2.4,27,29,9.4,645,5.9
3,115,371,25.2,26.5,25.8,29.8,44,331,35,2.3,29,30,9.3,692,6
3,120,340,25.8,27.1,26.3,31.3,46,348,30,2.3,31.1,30,9.3,738,6.2
3,125,314,26.4,27.6,26.7,32.9,47.8,363,26,2.3,33.3,30,9.2,784,6.3
3,130,292,26.9,28.1,27.1,34.4,49.6,379,23,2.2,35.2,30,9.1,830,6.4
3,135,271,27.4,28.5,27.5,35.9,51.3,393,20,2.2,37.1,31,9,875,6.5
3,140,253,27.9,29,27.9,37.4,52.9,407,18,2.2,38.8,31,8.9,920,6.6
3,145,237,28.3,29.4,28.3,39,54.4,421,16,2.1,40.7,31,8.8,964,6.6
3,150,222,28.7,29.7,28.7,40.5,55.9,434,15,2.1,42.5,31,8.7,1008,6.7
