"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,75,381,33.9,34.9,48.9,40.4,52.3,695,23,3,40.9,43,18,1186,15.8
0,80,363,34.9,36,50.4,42,54.5,740,17,2.9,46.3,43,17.5,1274,15.9
0,85,349,35.8,36.9,51.7,43.4,56.6,781,14,2.8,50.4,43,17,1359,16
0,90,336,36.6,37.7,52.9,44.7,58.6,821,13,2.8,52.1,43,16.5,1441,16
0,95,324,37.3,38.4,54.1,46.1,60.4,858,13,2.7,52.3,43,16.1,1522,16
1,25,2211,10,10.9,16.4,9.7,15.3,80,1148,5.5,7.8,25,13.1,130,5.2
1,30,1497,12.9,13.8,20.7,13.3,19.4,127,714,5,9.5,30,15.3,206,6.9
1,35,1083,15.6,16.5,24.5,17,23.2,177,414,4.5,11.7,32,16.6,289,8.3
1,40,863,18,19,27.8,20.3,26.8,230,220,4.1,15.3,34,17.2,375,9.4
1,45,755,20.3,21.2,30.6,22.7,30.1,282,108,3.8,21,34,17.4,462,10.3
1,50,705,22.3,23.3,33.1,24.4,33.2,334,49,3.5,30.2,35,17.4,550,11
1,55,669,24.1,25.1,35.4,26,36.1,385,36,3.4,34.5,36,17.3,636,11.6
1,60,631,25.8,26.7,37.7,27.6,38.8,434,39,3.3,32.9,36,17.1,721,12
1,65,587,27.2,28.2,39.9,29.4,41.3,481,44,3.2,30.5,37,16.8,805,12.4
1,70,542,28.5,29.5,42.1,31.4,43.6,525,45,3.1,29.8,38,16.4,887,12.7
1,75,501,29.7,30.7,43.9,33.4,45.8,567,41,3.1,30.8,38,16.1,967,12.9
1,80,466,30.7,31.8,45.4,35.2,47.8,606,35,3,32.9,39,15.7,1046,13.1
1,85,435,31.7,32.7,46.7,37,49.7,644,30,3,35.3,39,15.3,1122,13.2
1,90,409,32.5,33.6,47.9,38.6,51.5,678,27,2.9,37.4,40,14.9,1197,13.3
1,95,385,33.3,34.3,49.1,40.3,53.1,711,24,2.9,39.1,40,14.6,1270,13.4
1,100,363,33.9,35,50.3,42,54.7,742,22,2.8,40.8,40,14.2,1341,13.4
1,105,344,34.6,35.6,51.3,43.6,56.2,771,20,2.8,42.3,41,13.9,1411,13.4
1,110,325,35.1,36.2,52.4,45.3,57.6,798,19,2.7,43.2,41,13.5,1478,13.4
2,30,2496,9.5,10.3,15.7,9,15.2,67,1006,5.3,8.2,23,11.2,118,3.9
2,35,1816,11.9,12.7,19.6,11.7,18.7,106,680,4.7,9.3,25,12.8,183,5.2
2,40,1373,14.1,15,22.9,14.6,21.9,148,443,4.1,10.8,27,13.8,252,6.3
2,45,1100,16.2,17.1,25.7,17.2,25,192,273,3.7,13.1,28,14.3,323,7.2
2,50,940,18.1,19.1,28.2,19.5,27.8,237,160,3.4,16.5,28,14.6,396,7.9
2,55,850,19.9,20.8,30.5,21.4,30.4,281,90,3.2,21.4,29,14.7,470,8.5
2,60,791,21.5,22.5,32.7,23,32.9,324,59,3.1,26,30,14.6,543,9
2,65,745,23,23.9,35,24.5,35.1,365,46,3.1,29.1,31,14.5,615,9.5
2,70,703,24.3,25.3,37.1,25.9,37.2,404,41,3,30.6,32,14.3,686,9.8
2,75,664,25.5,26.5,39,27.4,39.2,441,40,3,31,33,14,757,10.1
2,80,624,26.6,27.6,40.5,28.7,41,476,40,3,31.1,34,13.8,826,10.3
2,85,584,27.6,28.6,41.8,30.2,42.7,508,40,3,31,35,13.5,893,10.5
2,90,544,28.4,29.5,43,31.7,44.3,538,40,3,30.8,36,13.2,959,10.7
2,95,505,29.2,30.3,44.2,33.4,45.8,566,39,3,31,37,13,1024,10.8
2,100,467,30,31,45.3,35.2,47.2,592,38,3,31.6,37,12.7,1088,10.9
2,105,431,30.6,31.7,46.4,37,48.5,616,36,2.9,32.4,38,12.4,1150,10.9
2,110,398,31.2,32.3,47.4,39,49.7,639,34,2.9,33.3,38,12.1,1210,11
2,115,366,31.8,32.8,48.5,41.1,50.9,660,32,2.9,34,39,11.9,1270,11
2,120,335,32.3,33.3,49.6,43.4,52,679,30,2.9,34.6,39,11.6,1328,11.1
3,40,2261,10.5,11.3,17.9,10.1,17,78,688,4.5,9.1,21,10.3,146,3.7
3,45,1770,12.4,13.2,20.8,12.2,19.8,112,491,3.9,10,22,11.1,202,4.5
3,50,1428,14.2,15,23.2,14.4,22.3,147,342,3.5,11.4,23,11.7,260,5.2
3,55,1198,15.8,16.7,25.5,16.5,24.7,184,230,3.2,13.3,24,11.9,320,5.8
